slug,title,difficulty,frequency,topics
two-sum,Two Sum,Easy,100.0,"Array, Hash Table"
add-two-numbers,Add Two Numbers,Medium,77.7,"Linked List, Math, Recursion"
median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,73.9,"Array, Binary Search, Divide and Conquer"
trapping-rain-water,Trapping Rain Water,Hard,73.9,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
longest-common-prefix,Longest Common Prefix,Easy,73.3,"Array, String, Trie"
palindrome-number,Palindrome Number,Easy,72.7,Math
merge-sorted-array,Merge Sorted Array,Easy,72.7,"Array, Two Pointers, Sorting"
longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,71.9,"Hash Table, String, Sliding Window"
3sum,3Sum,Medium,71.8,"Array, Two Pointers, Sorting"
best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,71.8,"Array, Dynamic Programming"
create-hello-world-function,Create Hello World Function,Easy,71.7,
merge-strings-alternately,Merge Strings Alternately,Easy,70.6,"Two Pointers, String"
longest-palindromic-substring,Longest Palindromic Substring,Medium,70.1,"Two Pointers, String, Dynamic Programming"
longest-consecutive-sequence,Longest Consecutive Sequence,Medium,69.1,"Array, Hash Table, Union-Find"
recyclable-and-low-fat-products,Recyclable and Low Fat Products,Easy,67.5,Database
container-with-most-water,Container With Most Water,Medium,67.5,"Array, Two Pointers, Greedy"
valid-parentheses,Valid Parentheses,Easy,66.2,"String, Stack"
majority-element,Majority Element,Easy,66.2,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
roman-to-integer,Roman to Integer,Easy,66.1,"Hash Table, Math, String"
merge-intervals,Merge Intervals,Medium,65.9,"Array, Sorting"
number-of-islands,Number of Islands,Medium,65.6,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
maximum-subarray,Maximum Subarray,Medium,65.3,"Array, Divide and Conquer, Dynamic Programming"
reverse-integer,Reverse Integer,Medium,65.2,Math
remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,65.2,"Array, Two Pointers"
subarray-sum-equals-k,Subarray Sum Equals K,Medium,64.7,"Array, Hash Table, Prefix Sum"
climbing-stairs,Climbing Stairs,Easy,64.4,"Math, Dynamic Programming, Memoization"
merge-two-sorted-lists,Merge Two Sorted Lists,Easy,61.4,"Linked List, Recursion"
next-permutation,Next Permutation,Medium,61.4,"Array, Two Pointers"
generate-parentheses,Generate Parentheses,Medium,61.0,"String, Dynamic Programming, Backtracking"
spiral-matrix,Spiral Matrix,Medium,60.1,"Array, Matrix, Simulation"
meeting-rooms-ii,Meeting Rooms II,Medium,59.5,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
reverse-linked-list,Reverse Linked List,Easy,59.2,"Linked List, Recursion"
decode-string,Decode String,Medium,58.9,"String, Stack, Recursion"
add-two-integers,Add Two Integers,Easy,58.6,Math
remove-element,Remove Element,Easy,58.2,"Array, Two Pointers"
koko-eating-bananas,Koko Eating Bananas,Medium,58.2,"Array, Binary Search"
search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,58.1,"Array, Binary Search"
move-zeroes,Move Zeroes,Easy,58.1,"Array, Two Pointers"
pascals-triangle,Pascal's Triangle,Easy,57.8,"Array, Dynamic Programming"
minimum-number-of-increments-on-subarrays-to-form-a-target-array,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,57.8,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
lru-cache,LRU Cache,Medium,57.6,"Hash Table, Linked List, Design, Doubly-Linked List"
4sum,4Sum,Medium,57.3,"Array, Two Pointers, Sorting"
single-number,Single Number,Easy,57.2,"Array, Bit Manipulation"
n-queens,N-Queens,Hard,57.2,"Array, Backtracking"
largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,57.2,"Array, Stack, Monotonic Stack"
jump-game,Jump Game,Medium,57.0,"Array, Dynamic Programming, Greedy"
letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,57.0,"Hash Table, String, Backtracking"
concatenation-of-array,Concatenation of Array,Easy,56.9,"Array, Simulation"
split-array-largest-sum,Split Array Largest Sum,Hard,56.9,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
find-peak-element,Find Peak Element,Medium,56.8,"Array, Binary Search"
top-k-frequent-elements,Top K Frequent Elements,Medium,56.8,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
rotate-array,Rotate Array,Medium,56.2,"Array, Math, Two Pointers"
valid-anagram,Valid Anagram,Easy,56.1,"Hash Table, String, Sorting"
find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,55.9,"Two Pointers, String, String Matching"
house-robber,House Robber,Medium,55.9,"Array, Dynamic Programming"
kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,55.6,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
rotate-image,Rotate Image,Medium,55.5,"Array, Math, Matrix"
group-anagrams,Group Anagrams,Medium,55.5,"Array, Hash Table, String, Sorting"
search-insert-position,Search Insert Position,Easy,55.0,"Array, Binary Search"
plus-one,Plus One,Easy,55.0,"Array, Math"
viewers-turned-streamers,Viewers Turned Streamers,Hard,54.9,Database
logger-rate-limiter,Logger Rate Limiter,Easy,54.4,"Hash Table, Design, Data Stream"
max-consecutive-ones,Max Consecutive Ones,Easy,54.1,Array
sort-colors,Sort Colors,Medium,53.9,"Array, Two Pointers, Sorting"
powx-n,"Pow(x, n)",Medium,53.8,"Math, Recursion"
happy-number,Happy Number,Easy,53.8,"Hash Table, Math, Two Pointers"
